Codigo;Latitud;Longitud
23207040;7.480333333;-73.91855556
16015120;7.360944444;-72.66605556
16057030;8.197805556;-73.31825
16017030;7.694;-72.474
29045150;7.746;-76.433
25017020;7.853888889;-75.70972222
35071001;5.439;-73.351
25027020;8.992527778;-73.96944444
29065130;10.85;-74.13333333
15067020;10.908;-73.008
25025360;9.046333333;-73.97083333
25020470;9.118;-75.393
28035070;10.73213889;-73.39241667
25025380;9.164;-75.045
15067050;11.18;-72.553
13085050;9.253;-75.844
15065190;11.227;-72.821
25025002;9.304;-74.274
25025350;9.316388889;-75.3875
13095010;9.383;-75.667
15075150;11.59494444;-72.32575
15085050;12.08352778;-71.21094444
25025280;9.357083333;-75.28925
15015120;11.22305556;-74.18591667
17019010;12.556;-81.703
25025000;9.911972222;-74.08580556
23217080;8.284286111;-73.75338889
25025030;8.295;-75.165
25027760;8.302;-75.134
29015000;10.06444444;-74.85222222
28025120;10.02908333;-73.04619444
29035200;10.49;-75.12694444
29035000;10.14258333;-75.27827778
17035010;15.797;-79.852
25020600;8.49;-75.601
13057010;8.499;-75.979
29047070;10.268;-74.908
28015110;10.36533333;-72.99763889
25025340;8.596833333;-75.14269444
14019030;10.391;-75.534
25020430;8.717;-75.767
29065140;10.452;-73.973
28035060;10.46361111;-73.24805556
29065120;10.46536111;-73.92777778
29065000;10.51002778;-74.50666667
13055040;8.746944444;-75.91388889
13067020;8.751611111;-75.89241667
29045000;10.637;-74.919
35185010;4.260361111;-72.56447222
35167000;5.545;-72.884
35167020;5.557;-72.88
35217090;5.567;-72.584
29047000;10.937;-74.76
15067210;10.95;-73.051
15067220;11.511;-72.856
17015010;12.542;-81.731
17025020;13.36;-81.358
35235050;5.819;-72.167
25027270;8.102;-74.773
25027910;8.345;-74.561
32105080;2.553;-72.647
3518700145;4.88565;-72.900888889
51025080;1.248333333;-78.0925
11017020;5.412;-76.418
3518500127;4.987080556;-72.8651
35037100;4.235333333;-73.63536111
12015110;7.671138889;-76.69405556
26225060;6.533916667;-75.82733333
23085260;6.131916667;-75.41455556
26247050;7.582527778;-75.42005556
27015310;6.32975;-75.55211111
12025040;8.091805556;-76.71633333
11135030;8.036722222;-77.08786111
21115010;3.234;-75.168
54015020;5.27;-76.552
26035100;2.48;-76.828
47035030;-0.174;-74.898
15079010;12.224;-71.968
21105030;2.521694444;-75.32225
21015030;1.888472222;-76.29497222
47017110;0.807777778;-77.30694444
26135330;4.776361111;-75.4125
28025130;9.640611111;-73.52394444
15065040;10.89813889;-72.82847222
21197030;4.19225;-74.50072222
26155150;4.934527778;-75.35038889
5205500123;1.054805556;-77.27025
21015070;1.675833;-76.106841
21205660;4.581888889;-74.52661111
15017030;11.15891667;-74.12291667
21117110;2.805583333;-75.08555556
21215150;4.670777778;-75.32777778
21206600;4.782222222;-74.09433333
26155250;4.829805556;-75.37583333
21206950;5.236055556;-73.52508333
21206930;5.086444444;-74.02216667
21227010;4.535225;-74.88053056
23125140;5.520833333;-74.18241667
16055120;8.227694444;-73.3975
16015130;7.506722222;-72.48536111
21237020;5.202416667;-74.72761111
23157030;7.060194444;-73.876
35025090;4.664888889;-73.84663889
23087160;6.507333333;-74.86516667
21147030;3.327527778;-74.86691667
25025330;8.954222222;-73.63008333
23067020;5.4695;-74.59338889
29067160;10.79883333;-74.02858333
24037030;5.681722222;-73.23113889
44035040;1.733;-75.64502778
14015010;10.79416667;-75.26055556
15067200;10.917;-72.915
29045190;10.918;-74.78
15067150;10.926;-72.804
35107040;4.689094444;-73.04651944
21205710;4.669333333;-74.10266667
21205910;4.989222222;-74.00119444
21097120;2.728416667;-75.39638889
26247010;7.796777778;-75.37252778
12045020;9.071111111;-76.22444444
25027720;9.134;-73.773
35035110;4.273861111;-73.58686111
